State,City,Allocation,
Maryland,Gaithersburg,"$11,500,277.00",
Maryland,Hagerstown,"$20,421,010.00",
Maryland,Rockville city,"$9,619,188.00",
Maryland,Salisbury,"$9,188,340.00",
Massachusetts,Arlington,"$26,404,030.00",
Massachusetts,Attleboro,"$9,557,617.00",
Massachusetts,Barnstable,"$7,692,669.00",
Massachusetts,Boston,"$424,179,607.00",
Massachusetts,Brockton,"$34,590,793.00",
Massachusetts,Brookline,"$32,406,450.00",
Massachusetts,Cambridge,"$65,019,211.00",
Massachusetts,Chicopee,"$28,828,571.00",
Massachusetts,Fall River,"$69,599,142.00",
Massachusetts,Fitchburg,"$23,345,004.00",
Massachusetts,Framingham,"$12,373,262.00",
Massachusetts,Gloucester,"$17,264,797.00",
Massachusetts,Haverhill,"$25,039,680.00",
Massachusetts,Holyoke,"$29,894,310.00",
Massachusetts,Lawrence,"$41,807,344.00",
Massachusetts,Leominster,"$11,842,399.00",
Massachusetts,Lowell,"$54,450,130.00",
Massachusetts,Lynn,"$56,818,440.00",
Massachusetts,Malden,"$34,028,561.00",
Massachusetts,Medford,"$37,409,525.00",
Massachusetts,Methuen Town city,"$9,978,445.00",
Massachusetts,New Bedford,"$64,729,754.00",
Massachusetts,Newton,"$46,416,122.00",
Massachusetts,Northampton,"$16,221,711.00",
Massachusetts,Peabody City,"$10,771,724.00",
Massachusetts,Pittsfield,"$32,417,190.00",
Massachusetts,Plymouth Town,"$9,472,098.00",
Massachusetts,Quincy,"$45,316,692.00",
Massachusetts,Revere City,"$19,745,590.00",
Massachusetts,Salem,"$26,657,276.00",
Massachusetts,Somerville,"$61,700,944.00",
Massachusetts,Springfield,"$93,848,687.00",
Massachusetts,Taunton,"$20,992,932.00",
Massachusetts,Waltham,"$22,813,389.00",
Massachusetts,Westfield,"$9,299,177.00",
Massachusetts,Weymouth Town,"$17,804,215.00",
Massachusetts,Worcester,"$110,617,389.00",
Massachusetts,Yarmouth,"$3,155,779.00",
Michigan,Ann Arbor city,"$24,182,630.00",
Michigan,Battle Creek,"$30,545,339.00",
Michigan,Bay City,"$31,076,578.00",
Michigan,Benton Harbor,"$9,825,764.00",
Michigan,Canton Twp,"$9,186,398.00",
Michigan,Clinton Twp,"$14,816,245.00",
Michigan,Dearborn,"$47,212,828.00",
Michigan,Dearborn Heights,"$24,314,463.00",
Michigan,Detroit,"$826,675,290.00",
Michigan,East Lansing,"$12,170,077.00",
Michigan,Farmington Hills,"$8,911,759.00",
Michigan,Flint,"$94,726,664.00",
Michigan,Georgetown charter township,"$5,076,913.00",
Michigan,Grand Rapids,"$92,279,500.00",
Michigan,Holland,"$8,453,519.00",
Michigan,Jackson,"$31,444,825.00",
Michigan,Kalamazoo,"$38,872,877.00",
Michigan,Kentwood city,"$7,899,605.00",
Michigan,Lansing,"$49,924,664.00",
Michigan,Lincoln Park,"$19,146,461.00",
Michigan,Livonia,"$8,910,652.00",
Michigan,Macomb township,"$7,210,898.00",
Michigan,Midland,"$5,376,869.00",
Michigan,Monroe,"$11,405,523.00",
Michigan,Muskegon,"$22,881,894.00",
Michigan,Muskegon Hts,"$10,684,772.00",
Michigan,Niles,"$7,031,749.00",
Michigan,Norton Shores,"$3,562,331.00",
Michigan,Novi city,"$4,996,379.00",
Michigan,Pontiac,"$37,717,953.00",
Michigan,Port Huron,"$17,959,874.00",
Michigan,Portage,"$5,655,184.00",
Michigan,Redford,"$21,962,768.00",
Michigan,Rochester Hills city,"$6,194,998.00",
Michigan,Roseville,"$14,393,345.00",
Michigan,Royal Oak,"$28,107,502.00",
Michigan,Saginaw,"$52,089,151.00",
Michigan,Shelby charter township,"$8,374,084.00",
